Symbol,Trust_Score,Verdict,Current_Price,Actual_Return_1Y,pe_ratio,debt_to_equity,revenue_growth,profit_margins,roe,free_cash_flow,dividend_yield,cash_reserves,operating_costs,net_income,analyst_target,current_price,sector,rsi,macd,macd_signal,roc,sma_50,sma_200,ema_20,price_vs_sma50,price_vs_sma200,bb_upper,bb_lower,bb_position,atr,volatility,volume_trend,volume_ratio,trend_strength
GOOG,100.0,TRUSTED,315.68,70.08572587071042,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,98496004096.0,0.0,124250996736.0,328.20557,315.68,Communication Services,46.08791985262573,4.756058711352523,6.820263398272424,-2.395886969020263,290.9310809326172,214.40816162109374,308.3197378015654,8.506795377045389,47.233197789204056,327.45041669733354,301.20090776555713,0.5515945059336492,7.713538909490438,32.05594014226072,-43.70622996044633,0.5911478572344596,-0.24823348694065564
RLI,100.0,TRUSTED,64.93,-1.1380764725370565,16.997383,6.046,0.084,0.19022,0.19489999,352691264.0,0.99,218327008.0,0.0,353020000.0,66.5,64.93,Financial Services,61.30953282006412,1.3024326859888902,1.1367155445405843,5.0998886760601785,61.07301277160644,66.84322633743287,63.898583228586226,6.31537132119753,-2.8622586566945234,67.03626460586173,60.143666653293536,0.6944164863262985,1.39071410042899,23.060652229567083,6.651645821598298,1.723430954947949,0.41590811401225536
MRVL,100.0,TRUSTED,87.68,19.618277114387894,30.873241,33.988,0.368,0.31748,0.18040001,1953600000.0,0.27,2714500096.0,0.0,2474200064.0,116.57975,87.68,Technology,31.49025560716261,-0.7255338843395833,-0.14239802606317806,5.094090835975152,87.62899993896484,73.81611145019531,87.0857312087157,0.05820032893958082,18.781656988711223,99.92934137582388,78.08465932608043,0.43925294757073574,4.470714569091797,68.41221551813595,-40.313469655259,0.6462544701611912,-0.48745006974433003
OKE,100.0,TRUSTED,73.46,-6.6100184819755965,13.503676,152.218,0.719,0.105790004,0.17847,1428625024.0,5.61,1199000064.0,0.0,3339000064.0,88.63158,73.46,Energy,43.94581000425722,0.5643436659511423,0.8574757881052415,3.639957577637004,70.13307861328126,76.81851570129395,72.56346606863099,4.743725125110042,-4.372014463128606,76.45002937398966,70.24196967996541,0.5183631542082067,1.464999062674386,30.39576469308941,-42.83920207143342,0.5988226228314046,-0.04967693382200283
LNC,100.0,TRUSTED,45.77,52.01973490658482,3.9696445,74.359,0.094,0.11451,0.2168,18500999168.0,3.93,45809000448.0,0.0,2019000064.0,46.33333,45.77,Financial Services,76.77334568469126,1.3956505852813237,1.2377512042153285,11.606930824308579,41.600800018310544,36.90131352424621,44.11265520350121,10.02192370727981,24.033526415503445,47.836181252889325,39.63181839615853,0.7481607248233085,1.1928571973528181,38.545825495216576,-44.84694590690956,0.5149925366868284,0.744452790591442
FTNT,100.0,TRUSTED,80.66,35.44920408630632,33.193417,148.116,0.144,0.28584,2.28043,1709100032.0,0.0,3123399936.0,0.0,1873600000.0,87.03818,80.66,Technology,44.40895165736149,-0.49308998915378766,-0.3282999864639902,-0.25967488233024927,82.7252001953125,91.70560005187988,81.67671340205314,-2.496453956384795,-12.044625828217438,85.68203103504896,78.44296896495104,0.30625993750159236,2.1514298575265065,41.50599998947976,-41.644075502197374,0.6235559454027174,-0.10993832874354204
COP,100.0,TRUSTED,92.73,-13.994099467553825,13.097458,36.169,0.14,0.14445,0.15421,6092499968.0,3.62,6256000000.0,0.0,8824000512.0,112.37107,92.73,Energy,52.110104008194945,1.0371064299534254,1.2542943420670591,7.053798679996762,89.39745040893554,90.98970893859864,92.31281992509167,3.727794173943192,1.9126277450885507,98.02963182312142,86.59336927551139,0.5365943686475305,2.4964278084891185,33.81400656010346,-24.73424430608844,0.7467607312399923,0.3111319052738685
MU,100.0,TRUSTED,276.27,107.96392798645553,26.236467,21.244,0.567,0.28146,0.22554001,444249984.0,0.17,10318000128.0,0.0,11909000192.0,299.76315,276.27,Technology,65.69511266025711,10.176321472638392,7.46638747502482,23.043687042119096,230.9391995239258,143.18409889221192,246.98807410053288,19.62888482474787,92.94739510261273,276.84250612089164,212.63349180391305,0.9910835400089862,15.369279044015068,62.67930360693542,-20.860706588424545,0.8689286366442905,0.7036464356130496
SKYW,100.0,TRUSTED,102.35,22.67769342636628,9.775549,92.207,0.15,0.109239995,0.17417999,299539360.0,0.0,753358976.0,0.0,434555008.0,130.0,102.35,Industrials,47.41429679707414,1.198421803395604,1.3539017493048595,3.0300002488347006,100.09440002441406,101.38784980773926,102.64502401783818,2.253471172370156,0.948978273241171,107.34372224765396,98.84427671474837,0.4124647597070098,2.7821410042898997,38.623216033754545,-34.99507293669127,0.5448027120993859,0.19417276246741288
ABT,100.0,TRUSTED,124.54,22.984370443049286,15.645729,25.31,0.069,0.3188,0.3062,6067874816.0,2.02,7733000192.0,0.0,13925999616.0,144.4292,124.54,Healthcare,47.66645808863396,-0.5109422547191116,-0.6042199576185657,-2.7411183542195827,126.56139938354492,129.40262874603272,125.6537200819188,-1.5971682344406781,-3.757750424103695,130.0004909246358,121.25650751896771,0.3755145960628401,2.322857448032924,22.228101513474233,20.4264126517337,1.1567303008287855,-0.09941583128871914
