Symbol,Trust_Score,Verdict,Current_Price,Actual_Return_1Y,pe_ratio,debt_to_equity,revenue_growth,profit_margins,roe,free_cash_flow,dividend_yield,cash_reserves,operating_costs,net_income,analyst_target,current_price,sector,rsi,macd,macd_signal,roc,sma_50,sma_200,ema_20,price_vs_sma50,price_vs_sma200,bb_upper,bb_lower,bb_position,atr,volatility,volume_trend,volume_ratio,trend_strength
GOOG,100.0,TRUSTED,315.68,70.08572587071042,31.162882,11.424,0.159,0.32233003,0.3545,47997751296.0,0.27,98496004096.0,0.0,124250996736.0,328.20557,315.68,Communication Services,46.08791985262573,4.756058711352523,6.820263398272424,-2.395886969020263,290.9310809326172,214.4081616210937,308.3197378015654,8.506795377045389,47.233197789204056,327.45041669733354,301.20090776555713,0.5515945059336492,7.713538909490438,32.05594014226072,-43.70622996044633,0.5911478572344596,-0.2482334869406556
HIG,100.0,TRUSTED,139.08,40.15208776670481,11.372037,23.675,0.07,0.12745,0.20069,5641750016.0,1.73,4369999872.0,0.0,3536999936.0,143.6,139.08,Financial Services,68.87502670288086,2.108555443322245,1.6746807561494073,1.542237117230007,130.91169540405272,126.38579772949218,135.69880518730008,6.239554381899094,10.044011534217114,142.28405500554632,128.42454789972712,0.7688191109519079,2.2771410260881697,21.22069920136374,-33.85646924467102,0.7084049766395326,0.1903674697279988
LULU,100.0,TRUSTED,212.68,-26.929154887667085,14.789986,39.156,0.071,0.15720001,0.41017,884945152.0,0.0,1035862016.0,0.0,1740715008.0,207.11208,212.68,Consumer Cyclical,76.01918039012638,10.224958379062995,8.185333638640817,19.81296786508036,179.58279876708986,226.28774932861327,196.37848509560564,18.4300468284921,-6.01347474320006,220.694012384705,167.28398291558796,0.8499529060631273,9.221429007393974,49.64784396612973,-53.75173693393717,0.8107342115456931,1.0622646643204994
MSFT,100.0,TRUSTED,486.85,8.545665334864976,34.60199,33.154,0.184,0.35707,0.32241002,53327376384.0,0.75,102012002304.0,0.0,104912003072.0,622.51416,486.85,Technology,58.160338511345245,-3.687522571670456,-5.299307777688586,2.0671326591771417,498.6879766845703,473.6479766845703,485.076476428642,-2.373823138820611,2.78730831098584,494.4138525894823,472.1431511946973,0.6603678370121799,7.466432843889509,24.41846753245493,-42.39232169769236,0.6607303758342281,-0.0335877982027042
AAPL,100.0,TRUSTED,272.36,18.94241529392284,36.50938,152.411,0.079,0.26915002,1.7142199,78862254080.0,0.38,54697000960.0,0.0,112010002432.0,287.70682,272.36,Technology,24.29132878431561,0.3707183169505583,1.7307777746798307,-1.664445914294935,270.42896240234376,229.93290222167968,274.5474627293819,0.7140592235626636,18.45194085750225,285.65705974217803,268.9629384267673,0.2034876146287069,4.327144077845982,32.63600882146856,-35.06627446007569,0.5445739047404385,-0.1923149405182962
ATR,100.0,TRUSTED,122.19,-13.943167638819054,19.613163,45.647,0.057,0.11451,0.15621,281934240.0,1.57,264815008.0,0.0,419388992.0,161.42857,122.19,Healthcare,50.35346654430861,0.1056658342477305,-0.2446069258659921,-1.0126376987017174,122.0602507019043,139.8827264022827,121.50155844936124,0.1063013870247041,-12.64825501756001,126.23546456496464,117.0685355265881,0.5586894906001333,2.9321419852120534,25.018682822516773,-45.13772771275191,0.7152770511034129,-0.047231916158518
PKG,100.0,TRUSTED,206.83,15.673089208365178,20.870838,91.618,0.06,0.10185,0.19811001,370837504.0,2.42,728700032.0,0.0,888200000.0,225.4,206.83,Consumer Cyclical,66.81902191391572,1.6944504011960646,0.7719532141832759,3.397827371964358,200.30166534423827,196.94457244873047,201.66901301495943,3.2592522261843517,5.019396706094879,209.7705177880613,191.79914468752455,0.8363777803422919,4.262828805567163,28.063166139514983,-35.19812715339971,0.6798584716424309,0.202923833846055
NVDA,100.0,TRUSTED,189.21,46.46468696294109,46.718517,9.102,0.625,0.53007,1.07359,53282873344.0,0.02,60608000000.0,0.0,99198001152.0,253.01825,189.21,Technology,60.42433900607444,-1.0661344219870443,-2.055661426712481,6.411279260047423,185.67247985839845,158.31121631622315,181.3886534509176,1.905251041062524,19.517751879263177,188.98573172001304,171.5152799377018,1.0128373894761669,5.143573216029576,49.79809489369761,-6.11934820176571,0.7868220365608003,0.0108820974323243
INTU,100.0,TRUSTED,674.14,5.885454454991553,46.300823,0.0,0.41,0.21191,0.21987,5059874816.0,0.66,0.0,0.0,4118000128.0,803.8873,674.14,Technology,60.64190010206893,4.605569484995272,2.540217534002691,4.022714680449075,659.2847985839844,678.9304898071289,663.0054106690287,2.253232001763002,-0.7055914015663461,689.034482233337,626.819521672913,0.7605966884695875,15.31571306501116,30.60018264971629,-50.88737754653039,0.5244540797394426,0.3184049480921508
LRCX,100.0,TRUSTED,175.16,66.23940760637504,38.581497,43.991,0.277,0.29657,0.62261003,4278629376.0,0.59,6693045760.0,0.0,5810433024.0,166.96667,175.16,Technology,63.77122457550849,5.045124435897037,3.963885193862467,15.479745071660744,155.82544006347655,109.22799865722656,163.25787597409317,12.407835069008476,60.36181731369727,176.27680928232513,148.35163767812406,0.9600072065430836,6.982857840401786,48.73315304643335,-40.48028539189721,0.552386666370251,0.5797688465933609
CF,100.0,TRUSTED,78.14,14.659711083887144,9.448608,44.133,0.211,0.20472,0.21967,1361750016.0,2.56,1838000000.0,0.0,1379000064.0,91.72222,78.14,Basic Materials,46.0041662093804,-0.8539838727102165,-1.0678551583577096,0.5921718365930628,81.1176220703125,84.26029426574706,78.71956697549284,-3.6707470025231697,-7.263557443552162,80.3765884836562,76.29641261497662,0.4518400270007073,1.809999738420759,33.34235102797926,-40.20606205822451,0.5704771067723744,-0.0412621933138611
PGR,100.0,TRUSTED,227.89,9.064649818836552,12.500823,19.455,0.142,0.12579,0.34223998,15078200320.0,6.1,1688000000.0,0.0,10712999936.0,255.13,227.89,Financial Services,50.875902378420086,0.905849297023792,1.2307189685365283,0.653679476878497,222.6082000732422,251.14724578857425,227.0754203940657,2.3726885688256054,-9.260402727452032,234.9834686037161,220.5695312742136,0.507874285012416,4.945713588169643,24.481689620768744,-27.22894575472831,0.7026725922935683,0.0197496826434683
ACN,100.0,TRUSTED,270.77,-11.22759629217822,22.377684,25.694,0.06,0.107609995,0.25016,11122880512.0,2.41,9655311360.0,0.0,7611100160.0,291.435,270.77,Technology,46.56535787642585,5.7753794675161885,6.1461148249320745,8.642616721656797,253.73519958496087,275.2033731842041,266.0842793531984,6.7136090919096185,-1.610948339490302,283.54622117180134,249.3117759595464,0.6268018342661522,6.61785888671875,28.23211783287845,-39.62295712296003,0.6764543795189146,0.4241167355074905
QCOM,100.0,TRUSTED,174.75,-10.821286494042717,34.810757,73.767,0.1,0.12512,0.2334,6856249856.0,2.04,10154999808.0,0.0,5541000192.0,193.4,174.75,Technology,51.172340117036285,1.473744612832547,1.7544322693197505,7.558428768561772,171.66589538574215,157.104681930542,174.0689574619565,1.7965738665374864,11.23156729171141,184.1098093526722,163.24756369420282,0.5513517813039258,3.977144513811384,38.41360775825661,-44.390743769502734,0.5389082145073305,0.317817009274446
