Symbol,Sector,Baseline_Score,Trust_Score,PE_Ratio,Net_Income,Verdict
NVDA,Tech/Growth,0.8,1.0,44.65432,99198001152,Analysis Complete
AMD,Tech/Growth,0.8,0.6,112.17714,3131000064,Analysis Complete
PLTR,Tech/Growth,0.73,0.6,402.90698,1095366016,Analysis Complete
TSLA,Tech/Growth,0.65,0.6,300.2123,5079000064,Analysis Complete
SMCI,Tech/Growth,0.8,0.8,26.078661,792812032,Analysis Complete
KO,Legacy/Stable,0.8,1.0,23.514635,13031000064,Analysis Complete
JNJ,Legacy/Stable,0.92,1.0,19.879951,25119000576,Analysis Complete
PG,Legacy/Stable,0.9,1.0,21.323614,16472999936,Analysis Complete
WMT,Legacy/Stable,0.85,1.0,39.758743,22909999104,Analysis Complete
MCD,Legacy/Stable,0.8,1.0,25.943735,8415000064,Analysis Complete
AMC,Distressed/Volatile,0.6,0.0,0.0,-640600000,Analysis Complete
GME,Distressed/Volatile,0.6,1.0,28.75925,362200000,Analysis Complete
PTON,Distressed/Volatile,0.55,0.0,N/A,N/A,"Validation Error: 7 validation errors for StockData
current_price
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
pe_ratio
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
debt_to_equity
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
revenue_growth
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
cash_reserves
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
operating_costs
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
net_income
  Field required [type=missing, input_value={'symbol': 'PTON'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
CVNA,Distressed/Volatile,0.8,0.6,89.55113,629000000,Analysis Complete
RIVN,Distressed/Volatile,0.42,0.0,0.0,-3579000064,Analysis Complete
JPM,Financials,0.85,1.0,15.327475,56660000768,Analysis Complete
BAC,Financials,0.7,1.0,14.680464,28253999104,Analysis Complete
C,Financials,0.8,1.0,14.772472,13436999680,Analysis Complete
SOFI,Financials,0.8,0.6,52.848213,640243968,Analysis Complete
